

,AIC,BIC,VBEM,,,
sample_size,3,3,3,,,
really_cluster,4,4,4,,,
div_cluster,12,12,2,,,
,,,,,,
sample_size,10,10,10,,,
really_cluster,4,4,4,,,
div_cluster,12,8,3,,,
,,,,,,
sample_size,15,15,15,,,
really_cluster,4,4,4,,,
div_cluster,10,4,3,,,
,,,,,,
sample_size,20,20,20,,,
really_cluster,4,4,4,,,
div_cluster,10,3,4,,,
,,,,,,
sample_size,50,50,50,,,
really_cluster,4,4,4,,,
div_cluster,4,4,4,,,
,,,,,,
sample_size,100,100,100,,,
really_cluster,4,4,4,,,
div_cluster,4,4,4,,,




,AIC,BIC,VBEM,
really_centers,5,5,5,
div_centers,5,5,4,
,,,,
really_centers,6,6,6,
div_centers,7,5,5,
,,,,
really_centers,7,7,7,
div_centers,8,5,7,
,,,,
really_centers,8,8,8,
div_centers,8,7,9,
,,,,
really_centers,9,9,9,
div_centers,9,7,9,
,,,,
really_centers,10,10,10,
div_centers,10,8,9,
